,prepare
a,dizer
a,morte
a,morte,
a,morte,
a,gente
acordei,então
agora,sou
agora,sou
agradar,aprendi
aprendi,a
as,visões
as,visões
até,que
boi,boiadeiro
boi,boiadeiro
boi,,mas
boiada,já
boiada,cujo
boiada,já
boiada,já
boiadeiro,muito
boiadeiro,já
boiadeiro,já
boiadeiro,,era
braço,forte
braço,forte
braço,forte
cantar,noutro
canto,pra
cavaleiro,laço
cavaleiro,laço
cavalo,e
cavalo,e
cavalo,e
chorar,e
clareando,as
clareando,até
coisa,de
coisa,de
coisa,de
coisa,de
coisas,que
com,gente
comigo,houvesse
comigo,houvesse
comigo,houvesse
como,num
concordar,não
consertar,na
contar,eu
coração,pras
cujo,vaqueiro
de,quem
de,uma
de,dono
de,gado
de,lado
de,seu
de,seu
de,um
de,seu
de,seu
de,um
deixar,você
desculpar,não
destino,,tudo
destino,,tudo
dia,me
dia,acordei
dia,montei
dia,montei
diferente,se
disparada,jair
dizer,não
do,sertão
do,sertão
do,sertão
do,lugar
do,dono
do,meu
do,meu
do,meu
dono,de
dono,de
e,posso
e,a
e,a
e,eu
e,muita
e,nos
e,gente
e,mata
e,já
e,já
enganar,vou
engorda,e
então,não
era,um
estava,fora
eu,vou
eu,venho
eu,venho
eu,venho
eu,vivo
eu,mas
eu,mas
ferra,,engorda
firme,,braço
firme,,braço
firme,,braço
foi,rodando
foi,rodando
foi,rodando
fora,do
forte,muito
forte,de
forte,de
fui,boi,
fui,sonhando
fui,boi
fui,rei
fui,boi
fui,rei
gado,e
gado,e
gado,a
gente,pela
gente,porque
gente,marca
gente,é
houvesse,que
houvesse,que
houvesse,que
jair,rodrigues
junto,comigo
junto,comigo
já,fui
já,fui
já,fui
já,que
já,fui
já,fui
já,que
la,laiá
la,laiá
la,laiá
la,laiá
lado,vou
laiá,lara
laiá,lara
laiá,lara
laiá,lara
lara,lara
lara,la
lara,lara
lara,la
lara,lara
lara,la
lara,lara
laço,firme,
laço,firme,
laço,firme,
lhe,agradar
longe,que
longe,que
lugar,e
lugar,na
lugar-tenente,de
lá,do
lá,do
lá,do
mais,longe
mais,longe
marca,tange,
mas,um
mas,o
mas,com
mas,o
mas,o
mata,mas
me,montei
me,desculpar
meu,ou
meu,cavalo
meu,cavalo
meu,cavalo
mim,nem
mim,nem
minha,viola
montei,não
montei,agora
montei,agora
morreu,boiadeiro
morte,sem
morte,,o
morte,,o
motivo,meu
muita,gente
muito,tempo
muito,gado
mundo,foi
mundo,foi
mundo,foi
na,boiada
na,boiada
na,boiada
nas,patas
nas,patas
nas,patas
necessidade,do
nem,por
nem,por
ninguém,que
ninguém,que
nos,sonhos
noutro,lugar
num,sonho
não,lhe
não,ver
não,por
não,pude
não,concordar
não,posso
não,canto
não,por
não,tem
não,por
não,tem
o,seu
o,destino,
o,destino,
o,mundo
o,que
o,mundo
o,que
o,mundo
ou,de
patas,do
patas,do
patas,do
pegar,minha
pela,vida
por,um
por,necessidade
por,mim
por,ninguém
por,qualquer
por,qualquer
por,mim
por,ninguém
por,qualquer
por,qualquer
porque,gado
porém,por
posso,não
posso,me
pra,consertar
pra,enganar
pras,coisas
prepare,o
pude,seguir
pudesse,por
pudesse,por
qualquer,querer
qualquer,coisa
qualquer,coisa
qualquer,coisa
qualquer,coisa
que,eu
que,qualquer
que,boiadeiro,
que,fui
que,um
que,junto
que,quisesse
que,pudesse
que,eu
que,um
que,não
que,junto
que,quisesse
que,pudesse
que,eu
que,um
que,não
quem,comigo
querer,tivesse
querer,mais
querer,mais
quisesse,o
quisesse,o
rei,mas
rei,não
rei,na
rei,não
rei,la
reino,que
reino,que
rodando,nas
rodando,nas
rodando,nas
rodrigues,
se,clareando
se,clareando
se,você
seguia,como
seguir,valente
segurei,seguia
sem,chorar
sertão,eu
sertão,eu
sertão,e
seu,coração
seu,por
seu,querer
seu,por
seu,querer
sonhando,as
sonho,que
sonhos,que
sou,cavaleiro
sou,cavaleiro
tange,,ferra,
tem,rei
tem,rei
tempo,laço
tivesse,porém
tudo,e
tudo,estava
um,dia
um,motivo
um,rei
um,dia
um,dia
um,reino
um,dia
um,reino
uma,boiada
valente,lugar-tenente
vaqueiro,morreu
venho,lá
venho,lá
venho,lá
ver,a
vida,segurei
viola,vou
visões,se
visões,se
vivo,pra
você,não
você,de
vou,contar
vou,pegar
vou,deixar
vou,cantar
é,diferente
