,the
a,footprint
a,kingdom
air,into
all,it's
all,around
always,have
am,one
an,icy
and,it
and,slam
and,the
and,break
and,sky
and,here
and,one
anymore,let
anyway,it's
around,and
at,all
away,and
back,anymore
back,,the
be,seen
be,the
be,conceal,
blast,i'm
bothered,me
bothered,me
break,through
break,of
can,do
can't,hold
can't,get
care,what
cold,never
cold,never
conceal,,don't
controlled,me
couldn't,keep
cry,here
crystallizes,like
dawn,let
day,let
distance,makes
do,to
don't,let
don't,let
don't,feel,
don't,let
don't,care
door,i
everything,seem
fears,that
feel,,don't
flurries,through
footprint,to
for,me
fractals,all
free,let
frozen,fractals
funny,how
get,to
girl,you
girl,is
glows,white
go,idina
go,can't
go,turn
go,i
go,you'll
go,when
go,that
go,,let
go,,let
go,,let
go,,let
go,,let
go,,let
going,to
going,back,
gone,here
good,girl
ground,my
have,to
heaven,knows
here,i
here,i
here,i
hold,it
how,some
howling,like
i,don't
i,can
i,am
i,stand
i,stay
i,stand
i'll,rise
i'm,the
i'm,free
i'm,never
i've,tried
icy,blast
idina,menzel
in,frozen
in,the
in,the
in,,heaven
in,,don't
inside,couldn't
into,the
is,howling
is,spiraling
is,in
is,gone
isolation,and
it,go
it,looks
it,in,
it,go,
it,go
it,back
it,go,
it,go
it,go,
it,go
it,go,
it,go
it,go,
it,go
it,go,
it,go
it's,funny
it's,time
keep,it
kingdom,of
know,well,
know,let
knows,i've
let,it
let,them
let,them
let,them
let,it
let,it
let,it
let,it
let,the
let,it
let,it
let,it
let,it
let,the
let,it
let,it
let,it
let,it
let,the
light,of
like,i'm
like,this
like,an
like,the
limits,and
looks,like
makes,everything
me,anyway
me,can't
me,at
me,i'm
me,cry
me,anyway
menzel,
mountain,tonight
my,power
my,soul
never,bothered
never,see
never,going
never,bothered
no,right,
no,wrong,
no,rules
not,a
now,they
of,isolation
of,dawn
of,day
on,the
on,the
on,my
on,the
once,controlled
one,with
one,thought
past,is
past,let
perfect,girl
power,flurries
queen,the
rage,on
rage,on
rage,on
right,,no
rise,like
rules,for
say,let
see,be
see,what
see,me
seem,small
seen,a
sky,let
slam,the
small,and
snow,glows
some,distance
soul,is
spiraling,in
stand,and
stand,in
stay,let
storm,inside
storm,rage
storm,rage
storm,rage
swirling,storm
test,the
that,once
that,perfect
the,snow
the,mountain
the,queen
the,wind
the,good
the,door
the,storm
the,cold
the,fears
the,limits
the,wind
the,storm
the,air
the,ground
the,past
the,past
the,break
the,light
the,storm
the,cold
them,in,
them,see
them,know
they,know
they're,going
this,swirling
thought,crystallizes
through,no
through,the
time,to
to,be
to,be
to,say
to,me
to,see
to,test
tonight,not
tried,don't
turn,away
well,,now
what,they're
what,i
when,i'll
white,on
wind,is
wind,and
with,the
wrong,,no
you,always
you'll,never
