,me
a,dor,
a,dor
a,dor,
a,dor
a,desvendar
a,vastidão
a,mais
a,dor,
a,dor
a,dor,
a,dor
a,desvendar
a,vastidão
a,mais
a,dor,
a,dor
a,dor,
a,dor
a,desvendar
a,vastidão
a,mais
a,dor,
a,dor
a,dor,
a,dor
alivia,a
alivia,a
alivia,a
alivia,a
alivia,a
alivia,a
alivia,a
alivia,a
aliviando,a
aliviando,a
aliviando,a
aliviando,a
aliviando,a
aliviando,a
aliviando,a
aliviando,a
amor.,me
amor.,me
amor.,me
amor.,me
amor.,me
amor.,me
amor.,me
amor.,me
amor.,me
amor.,me
aos,poucos
aos,poucos
aos,poucos
asa,morena
asa,morena,
asa,morena,
asa,morena,
asa,morena,
asa,morena,
asa,morena,
asa,morena,
asa,morena,
beijo,muito
beijo,muito
beijo,muito
com,a
com,a
com,a
corpo,,frágil
corpo,,com
corpo,,frágil
corpo,,com
corpo,,frágil
corpo,,com
crescer,de
crescer,de
crescer,de
de,um
de,um
de,um
desvendar,a
desvendar,a
desvendar,a
do,teu
do,meu
do,teu
do,meu
do,teu
do,meu
dor,que
dor,que
dor,que
dor,que
dor,que
dor,que
dor,que
dor,que
dor,,aliviando
dor,,aliviando
dor,,aliviando
dor,,aliviando
dor,,aliviando
dor,,aliviando
dor,,aliviando
dor,,aliviando
e,o
e,o
e,o
emoção.,me
emoção.,me
emoção.,me
faz,pequena,
faz,ser
faz,pequena,
faz,ser
faz,pequena,
faz,ser
faz,pequena,
faz,ser
faz,pequena,
faz,ser
faz,pequena,
faz,ser
faz,pequena,
faz,ser
faz,pequena,
faz,ser
forte,,unindo
forte,,unindo
forte,,unindo
frágil,corpo,
frágil,corpo,
frágil,corpo,
gesto,muito
gesto,muito
gesto,muito
implodindo,aos
implodindo,aos
implodindo,aos
louco,,me
louco,,me
louco,,me
mais,pura
mais,pura
mais,pura
mata,me
mata,me
mata,me
mata,me
mata,me
mata,me
mata,me
mata,me
me,faz
me,alivia
me,faz
me,faz
me,alivia
me,faz
me,toma
me,implodindo
me,toma
me,faz
me,alivia
me,faz
me,faz
me,alivia
me,faz
me,toma
me,implodindo
me,toma
me,faz
me,alivia
me,faz
me,faz
me,alivia
me,faz
me,toma
me,implodindo
me,toma
me,faz
me,alivia
me,faz
me,faz
me,alivia
me,faz
meu,corpo,
meu,corpo,
meu,corpo,
morena,zizi
morena,,me
morena,,me
morena,,me
morena,,me
morena,,me
morena,,me
morena,,me
morena,,me
muito,louco,
muito,forte,
muito,louco,
muito,forte,
muito,louco,
muito,forte,
no,crescer
no,universo
no,crescer
no,universo
no,crescer
no,universo
norte,do
norte,do
norte,do
num,gesto
num,gesto
num,gesto
o,sul
o,norte
o,sul
o,norte
o,sul
o,norte
pensar,,num
pensar,,num
pensar,,num
pequena,,asa
pequena,,asa
pequena,,asa
pequena,,asa
pequena,,asa
pequena,,asa
pequena,,asa
pequena,,asa
possi,
poucos,no
poucos,no
poucos,no
pura,emoção.
pura,emoção.
pura,emoção.
que,mata
que,mata
que,mata
que,mata
que,mata
que,mata
que,mata
que,mata
sem,pensar,
sem,pensar,
sem,pensar,
ser,teu
ser,teu
ser,teu
ser,teu
ser,teu
ser,teu
ser,teu
ser,teu
sul,e
sul,e
sul,e
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
teu,amor.
toma,no
toma,sem
toma,no
toma,sem
toma,no
toma,sem
um,beijo
um,beijo
um,beijo
unindo,o
unindo,o
unindo,o
universo,a
universo,a
universo,a
vastidão,do
vastidão,do
vastidão,do
zizi,possi
