a,dizer,gente,morte
acordei,então
agora,sou
agradar,aprendi
aprendi,a
as,visões
até,que
boi,boiadeiro,mas
boiada,cujo,já
boiadeiro,era,já,muito
braço,forte
cantar,noutro
canto,pra
cavaleiro,laço
cavalo,e
chorar,e
clareando,as,até
coisa,de
coisas,que
com,gente
comigo,houvesse
como,num
concordar,não
consertar,na
contar,eu
coração,pras
cujo,vaqueiro
de,dono,gado,lado,quem,seu,um,uma
deixar,você
desculpar,não
destino,tudo
dia,acordei,me,montei
diferente,se
disparada,jair
dizer,não
do,dono,lugar,meu,sertão
dono,de
e,a,eu,gente,já,mata,muita,nos,posso
enganar,vou
engorda,e
então,não
era,um
estava,fora
eu,mas,venho,vivo,vou
ferra,engorda
firme,braço
foi,rodando
fora,do
forte,de,muito
fui,boi,rei,sonhando
gado,a,e
gente,marca,pela,porque,é
houvesse,que
jair,rodrigues
junto,comigo
já,fui,que
la,laiá
lado,vou
laiá,lara
lara,la,lara
laço,firme
lhe,agradar
longe,que
lugar,e,na
lugartenente,de
lá,do
mais,longe
marca,tange
mas,com,o,um
mata,mas
me,desculpar,montei
meu,cavalo,ou
mim,nem
minha,viola
montei,agora,não
morreu,boiadeiro
morte,o,sem
motivo,meu
muita,gente
muito,gado,tempo
mundo,foi
na,boiada
nas,patas
necessidade,do
nem,por
ninguém,que
nos,sonhos
noutro,lugar
num,sonho
não,canto,concordar,lhe,por,posso,pude,tem,ver
o,destino,mundo,que,seu
ou,de
patas,do
pegar,minha
pela,vida
por,mim,necessidade,ninguém,qualquer,um
porque,gado
porém,por
posso,me,não
pra,consertar,enganar
pras,coisas
prepare,o
pude,seguir
pudesse,por
qualquer,coisa,querer
que,boiadeiro,eu,fui,junto,não,pudesse,qualquer,quisesse,um
quem,comigo
querer,mais,tivesse
quisesse,o
rei,la,mas,na,não
reino,que
rodando,nas
rodrigues,
se,clareando,você
seguia,como
seguir,valente
segurei,seguia
sem,chorar
sertão,e,eu
seu,coração,por,querer
sonhando,as
sonho,que
sonhos,que
sou,cavaleiro
tange,ferra
tem,rei
tempo,laço
tivesse,porém
tudo,e,estava
um,dia,motivo,rei,reino
uma,boiada
valente,lugartenente
vaqueiro,morreu
venho,lá
ver,a
vida,segurei
viola,vou
visões,se
vivo,pra
você,de,não
vou,cantar,contar,deixar,pegar
é,diferente
