a,footprint,kingdom
air,into
all,around,its
always,have
am,one
an,icy
and,break,here,it,one,sky,slam,the
anymore,let
anyway,its
around,and
at,all
away,and
back,anymore,the
be,conceal,seen,the
blast,im
bothered,me
break,of,through
can,do
cant,get,hold
care,what
cold,never
conceal,dont
controlled,me
couldnt,keep
cry,here
crystallizes,like
dawn,let
day,let
distance,makes
do,to
dont,care,feel,let
door,i
everything,seem
fears,that
feel,dont
flurries,through
footprint,to
for,me
fractals,all
free,let
frozen,fractals
funny,how
get,to
girl,is,you
glows,white
go,cant,i,idina,let,that,turn,when,youll
going,back,to
gone,here
good,girl
ground,my
have,to
heaven,knows
here,i
hold,it
how,some
howling,like
i,am,can,dont,stand,stay
icy,blast
idina,menzel
ill,rise
im,free,never,the
in,dont,frozen,heaven,the
inside,couldnt
into,the
is,gone,howling,in,spiraling
isolation,and
it,back,go,in,looks
its,funny,time
ive,tried
keep,it
kingdom,of
know,let,well
knows,ive
let,it,the,them
light,of
like,an,im,the,this
limits,and
looks,like
makes,everything
me,anyway,at,cant,cry,im
menzel,
mountain,tonight
my,power,soul
never,bothered,going,see
no,right,rules,wrong
not,a
now,they
of,dawn,day,isolation
on,my,the
once,controlled
one,thought,with
past,is,let
perfect,girl
power,flurries
queen,the
rage,on
right,no
rise,like
rules,for
say,let
see,be,me,what
seem,small
seen,a
sky,let
slam,the
small,and
snow,glows
some,distance
soul,is
spiraling,in
stand,and,in
stay,let
storm,inside,rage
swirling,storm
test,the
that,once,perfect
the,air,break,cold,door,fears,good,ground,light,limits,mountain,past,queen,snow,storm,wind
them,in,know,see
they,know
theyre,going
this,swirling
thought,crystallizes
through,no,the
time,to
to,be,me,say,see,test
tonight,not
tried,dont
turn,away
well,now
what,i,theyre
when,ill
white,on
wind,and,is
with,the
wrong,no
you,always
youll,never
