,prepare
prepare,o
sertão,eu
sertão,eu
sertão,e
vaqueiro,morreu
marca,tange,
engorda,e
seguir,valente
até,que
visões,se
visões,se
concordar,não
sonhando,as
cujo,vaqueiro
gente,pela
gente,porque
gente,marca
gente,é
tem,rei
tem,rei
lugar-tenente,de
acordei,então
pela,vida
rodando,nas
rodando,nas
rodando,nas
como,num
viola,vou
nas,patas
nas,patas
nas,patas
seguia,como
desculpar,não
boiadeiro,,era
forte,muito
forte,de
forte,de
coisa,de
coisa,de
coisa,de
coisa,de
firme,,braço
firme,,braço
firme,,braço
junto,comigo
junto,comigo
mata,mas
as,visões
as,visões
boiadeiro,muito
boiadeiro,já
boiadeiro,já
aprendi,a
disparada,jair
vida,segurei
venho,lá
venho,lá
venho,lá
patas,do
patas,do
patas,do
querer,tivesse
querer,mais
querer,mais
longe,que
longe,que
consertar,na
mim,nem
mim,nem
se,clareando
se,clareando
se,você
por,um
por,necessidade
por,mim
por,ninguém
por,qualquer
por,qualquer
por,mim
por,ninguém
por,qualquer
por,qualquer
noutro,lugar
era,um
lara,lara
lara,la
lara,lara
lara,la
lara,lara
lara,la
lara,lara
você,não
você,de
sem,chorar
mas,um
mas,o
mas,com
mas,o
mas,o
a,dizer
a,morte
a,morte,
a,morte,
a,gente
estava,fora
seu,coração
seu,por
seu,querer
seu,por
seu,querer
e,posso
e,a
e,a
e,eu
e,muita
e,nos
e,gente
e,mata
e,já
e,já
lhe,agradar
diferente,se
porém,por
o,seu
o,destino,
o,destino,
o,mundo
o,que
o,mundo
o,que
o,mundo
coração,pras
pude,seguir
la,laiá
la,laiá
la,laiá
la,laiá
coisas,que
fui,boi,
fui,sonhando
fui,boi
fui,rei
fui,boi
fui,rei
dia,me
dia,acordei
dia,montei
dia,montei
segurei,seguia
agora,sou
agora,sou
quisesse,o
quisesse,o
com,gente
pras,coisas
de,quem
de,uma
de,dono
de,gado
de,lado
de,seu
de,seu
de,um
de,seu
de,seu
de,um
num,sonho
lugar,e
lugar,na
fora,do
tempo,laço
do,sertão
do,sertão
do,sertão
do,lugar
do,dono
do,meu
do,meu
do,meu
mais,longe
mais,longe
tivesse,porém
sonho,que
jair,rodrigues
nem,por
nem,por
rei,mas
rei,não
rei,na
rei,não
rei,la
sou,cavaleiro
sou,cavaleiro
me,montei
me,desculpar
um,dia
um,motivo
um,rei
um,dia
um,dia
um,reino
um,dia
um,reino
pegar,minha
morte,,o
morte,,o
vivo,pra
pra,consertar
pra,enganar
enganar,vou
reino,que
reino,que
ver,a
braço,forte
braço,forte
braço,forte
dono,de
dono,de
cantar,noutro
laço,firme,
laço,firme,
laço,firme,
dizer,não
eu,vou
eu,venho
eu,venho
eu,venho
eu,vivo
eu,mas
eu,mas
tange,,ferra,
cavalo,e
cavalo,e
cavalo,e
na,boiada
na,boiada
na,boiada
clareando,as
clareando,até
morte,sem
já,fui
já,fui
já,fui
já,que
já,fui
já,fui
já,que
destino,,tudo
destino,,tudo
ferra,,engorda
boi,boiadeiro
boi,boiadeiro
valente,lugar-tenente
que,eu
que,qualquer
que,boiadeiro,
que,fui
que,um
que,junto
que,quisesse
que,pudesse
que,eu
que,um
que,não
que,junto
que,quisesse
que,pudesse
que,eu
que,um
que,não
foi,rodando
foi,rodando
foi,rodando
motivo,meu
morreu,boiadeiro
deixar,você
uma,boiada
muito,tempo
muito,gado
houvesse,que
houvesse,que
houvesse,que
comigo,houvesse
comigo,houvesse
comigo,houvesse
rodrigues,
nos,sonhos
agradar,aprendi
então,não
gado,e
gado,e
gado,a
muita,gente
não,lhe
não,ver
não,por
não,pude
não,concordar
não,posso
não,canto
não,por
não,tem
não,por
não,tem
meu,ou
meu,cavalo
meu,cavalo
meu,cavalo
montei,não
montei,agora
montei,agora
contar,eu
vou,contar
vou,pegar
vou,deixar
vou,cantar
boi,,mas
necessidade,do
chorar,e
ou,de
mundo,foi
mundo,foi
mundo,foi
é,diferente
boiada,já
boiada,cujo
boiada,já
boiada,já
cavaleiro,laço
cavaleiro,laço
canto,pra
qualquer,querer
qualquer,coisa
qualquer,coisa
qualquer,coisa
qualquer,coisa
pudesse,por
pudesse,por
posso,não
posso,me
lado,vou
lá,do
lá,do
lá,do
sonhos,que
quem,comigo
minha,viola
tudo,e
tudo,estava
ninguém,que
ninguém,que
porque,gado
laiá,lara
laiá,lara
laiá,lara
laiá,lara
