,on
corridor,i
called,up
thought,i
year,(any
(such,a
(such,a
alibis,mirrors
bring,me
bring,your
boys,that
stood,in
your,alibis
haven't,had
eagles,
her,mind
far,away
sight,grew
dance,in
dance,to
dance,to
welcome,to
welcome,to
they,dance
they,livin'
they,gathered
they,stab
they,just
you,can
you,up
you,can
you,like
you,can
",said
still,those
livin',it
mirrors,on
in,my
in,the
in,the
in,the
in,the
in,the
myself,"this
night,there
night,just
night,man
voices,down
voices,are
is,tiffany-twisted
them,say
them,say
it,here
it,up
it,with
then,she
doorway,i
bell,and
heaven,or
heavy,and
mission,bell
courtyard,sweet
at,the
at,the
stop,for
'we,haven't
'we,are
light,my
mercedes,benz
programmed,to
place),such
place),such
wind,in
pink,champagne
be,heaven
be,hell"
ahead,in
air,up
our,own
thinking,to
summer,sweat
out,any
remember,some
lot,of
how,they
year),you
are,calling
are,all
are,programmed
dark,desert
hotel,california
hotel,california
hotel,california
hotel,california
hotel,california
1969",and
man,"we
place,(such
place,(such
place,i
so,i
can't,kill
"please,bring
receive,you
benz,she
mind,is
a,dark
a,shimmering
a,candle
a,lovely
a,lovely
a,lovely
a,lot
a,lovely
a,lovely
a,lovely
a,nice
a,nice
middle,of
could,be
could,be
cool,wind
spirit,here
i,saw
i,had
i,heard
i,was
i,thought
i,heard
i,called
i,remember,
i,was
i,had
i,was
gathered,for
kill,the
hell",then
nice,surprise
nice,surprise)
"we,are
the,air
the,distance
the,night
the,doorway
the,mission
the,way
the,corridor
the,hotel
the,hotel
the,mercedes
the,courtyard
the,captain
the,middle
the,night
the,hotel
the,hotel
the,ceiling
the,pink
the,master's
the,feast
the,beast
the,door
the,passage
the,place
the,night
such,a
such,a
such,a
such,a
face,plenty
face,they
stab,it
device",and
calls,friends
calling,from
showed,me
candle,and
to,stop
to,myself
to,the
to,remember
to,forget
to,hear
to,the
to,find
to,the
to,receive
sweet,summer
desert,highway
thing,i
pretty,,pretty
but,they
but,you
through,the
door,i
passage,back
before,"relax,
own,device"
(what,a
wine",he
dim,i
ice,and
had,to
had,that
had,to
colitas,rising
smell,of
got,the
got,a
down,the
that,she
that,spirit
wake,you
find,it
find,the
lit,up
me,the
me,my
champagne,on
from,far
california,eagles
california,such
california,any
california,such
california,what
up,through
up,ahead
up,a
up,the
up,in
up,at
highway,cool
those,voices
all,just
surprise,(what
last,thing
surprise),bring
like,but
knives,but
this,could
plenty,of
check,out
my,hair
my,head
my,sight
my,wine"
friends,how
feast,they
never,leave"
she,stood
she,lit
she,showed
she,got
she,got
she,calls
she,said,
forget,so
warm,smell
shimmering,light
were,voices
since,1969"
here,her
here,since
here,of
steely,knives
some,dance
some,dance
away,wake
rising,up
distance,i
chambers,they
for,the
for,the
for,the
back,to
their,steely
prisoners,here
beast,last
captain,"please
running,for
head,grew
can,find
can,check
can,never
hair,warm
"this,could
and,my
and,i
and,she
and,still
and,she
and,in
(any,time
of,colitas
of,room
of,year
of,year)
of,pretty,
of,the
of,our
said,the
just,to
just,prisoners
just,can't
hear,them
heard,the
heard,them
on,a
on,the
on,ice
"relax,,"
remember,,i
ceiling,the
said,,'we
said,,'we
lovely,place
lovely,place)
lovely,face
lovely,place
lovely,place)
lovely,face
master's,chambers
pretty,boys
or,this
was,thinking
was,running
was,before
saw,a
say,welcome
say,welcome
any,time
any,time
grew,heavy
grew,dim
room,at
way,there
with,their
what,a
tiffany-twisted,she
there,she
there,were
sweat,some
time,of
time,of
time,you
he,said,
