,the
thought,crystallizes
don't,let
don't,let
don't,feel,
don't,let
don't,care
couldn't,keep
when,i'll
right,,no
tried,don't
mountain,tonight
idina,menzel
let,it
let,them
let,them
let,them
let,it
let,it
let,it
let,it
let,the
let,it
let,it
let,it
let,it
let,the
let,it
let,it
let,it
let,it
let,the
they,know
you,always
sky,let
in,frozen
in,the
in,the
going,to
going,back,
past,is
past,let
crystallizes,like
frozen,fractals
them,in,
them,see
them,know
is,howling
is,spiraling
is,in
is,gone
isolation,and
it,go
it,looks
it,in,
it,go,
it,go
it,back
it,go,
it,go
it,go,
it,go
it,go,
it,go
it,go,
it,go
it,go,
it,go
am,one
an,icy
heaven,knows
at,all
light,of
dawn,let
i've,tried
care,what
wind,is
wind,and
conceal,,don't
be,seen
be,the
be,conceal,
go,,let
go,,let
go,,let
go,,let
go,,let
go,,let
queen,the
air,into
turn,away
i'm,the
i'm,free
i'm,never
seen,a
seem,small
anyway,it's
into,the
how,some
see,be
see,what
see,me
get,to
have,to
glows,white
power,flurries
stand,and
stand,in
free,let
everything,seem
can't,hold
can't,get
limits,and
funny,how
knows,i've
a,footprint
a,kingdom
storm,inside
storm,rage
storm,rage
storm,rage
break,through
break,of
one,with
one,thought
makes,everything
i,don't
i,can
i,am
i,stand
i,stay
i,stand
blast,i'm
stay,let
controlled,me
slam,the
the,snow
the,mountain
the,queen
the,wind
the,good
the,door
the,storm
the,cold
the,fears
the,limits
the,wind
the,storm
the,air
the,ground
the,past
the,past
the,break
the,light
the,storm
the,cold
flurries,through
rage,on
rage,on
rage,on
to,be
to,be
to,say
to,me
to,see
to,test
through,no
through,the
small,and
door,i
tonight,not
perfect,girl
rules,for
feel,,don't
do,to
anymore,let
inside,couldn't
good,girl
fears,that
hold,it
spiraling,in
that,once
that,perfect
looks,like
wrong,,no
white,on
me,anyway
me,can't
me,at
me,i'm
me,cry
me,anyway
day,let
icy,blast
all,it's
all,around
always,have
well,,now
you'll,never
test,the
like,i'm
like,this
like,an
like,the
it's,funny
it's,time
in,,heaven
in,,don't
this,swirling
my,power
my,soul
girl,you
girl,is
gone,here
never,bothered
never,see
never,going
never,bothered
once,controlled
snow,glows
back,,the
keep,it
know,well,
know,let
ground,my
here,i
here,i
here,i
no,right,
no,wrong,
no,rules
some,distance
away,and
distance,makes
soul,is
for,me
menzel,
back,anymore
cold,never
cold,never
around,and
fractals,all
can,do
swirling,storm
not,a
and,it
and,slam
and,the
and,break
and,sky
and,here
and,one
now,they
of,isolation
of,dawn
of,day
on,the
on,the
on,my
on,the
they're,going
go,idina
go,can't
go,turn
go,i
go,you'll
go,when
go,that
say,let
cry,here
kingdom,of
i'll,rise
bothered,me
bothered,me
with,the
what,they're
what,i
footprint,to
howling,like
time,to
rise,like
